stationID,CONTINENT,lon,lat,WMO_zone,percent_rank_level_EWM_His,percent_rank_level_EWM_soc_126,percent_rank_level_EWM_soc_585
811,South America,-60.5,-32.836982706677,6,4,7,8
812,South America,-59.5,-32.836982706677,1,4,5,7
813,South America,-58.5,-32.836982706677,1,4,6,8
814,South America,-57.5,-32.836982706677,1,4,4,5
815,South America,-56.5,-32.836982706677,1,4,4,5
816,South America,-55.5,-32.836982706677,1,3,3,4
817,South America,-54.5,-32.836982706677,2,3,5,7
818,South America,-53.5,-32.836982706677,1,3,5,7
819,South America,-52.5,-32.836982706677,8,3,6,7
821,Africa,18.5,-32.836982706677,3,2,5,6
822,Africa,19.5,-32.836982706677,3,2,2,3
823,Africa,20.5,-32.836982706677,3,1,2,2
824,Africa,21.5,-32.836982706677,3,1,2,2
825,Africa,22.5,-32.836982706677,2,1,4,5
826,Africa,23.5,-32.836982706677,1,1,2,2
827,Africa,24.5,-32.836982706677,3,1,4,5
828,Africa,25.5,-32.836982706677,3,1,4,6
829,Africa,26.5,-32.836982706677,3,2,5,6
830,Africa,27.5,-32.836982706677,6,2,7,8
833,Oceania,116.5,-32.836982706677,2,4,5,6
834,Oceania,117.5,-32.836982706677,2,2,3,3
835,Oceania,118.5,-32.836982706677,2,2,2,2
836,Oceania,119.5,-32.836982706677,1,2,2,2
837,Oceania,120.5,-32.836982706677,1,2,2,2
838,Oceania,121.5,-32.836982706677,1,2,2,2
839,Oceania,122.5,-32.836982706677,1,3,2,3
840,Oceania,123.5,-32.836982706677,1,4,3,3
841,Oceania,124.5,-32.836982706677,1,3,3,3
844,Oceania,134.5,-32.836982706677,1,2,2,3
845,Oceania,135.5,-32.836982706677,1,3,2,2
846,Oceania,136.5,-32.836982706677,2,2,2,2
847,Oceania,137.5,-32.836982706677,2,2,3,5
848,Oceania,138.5,-32.836982706677,2,2,2,3
849,Oceania,139.5,-32.836982706677,2,2,2,2
850,Oceania,140.5,-32.836982706677,1,2,2,2
851,Oceania,141.5,-32.836982706677,1,2,2,2
852,Oceania,142.5,-32.836982706677,1,2,2,2
853,Oceania,143.5,-32.836982706677,1,2,2,2
854,Oceania,144.5,-32.836982706677,1,2,2,2
855,Oceania,145.5,-32.836982706677,1,2,2,2
856,Oceania,146.5,-32.836982706677,1,2,2,2
857,Oceania,147.5,-32.836982706677,1,2,2,3
858,Oceania,148.5,-32.836982706677,2,2,4,6
859,Oceania,149.5,-32.836982706677,3,2,4,6
860,Oceania,150.5,-32.836982706677,3,2,4,6
861,Oceania,151.5,-32.836982706677,6,2,7,8
863,South America,-71.5,-31.836982706677,3,2,4,5
864,South America,-70.5,-31.836982706677,3,2,3,3
865,South America,-69.5,-31.836982706677,3,2,3,4
866,South America,-68.5,-31.836982706677,6,2,7,8
867,South America,-67.5,-31.836982706677,7,2,3,4
868,South America,-66.5,-31.836982706677,1,3,3,4
869,South America,-65.5,-31.836982706677,1,3,5,7
870,South America,-64.5,-31.836982706677,6,3,7,8
871,South America,-63.5,-31.836982706677,1,3,5,7
872,South America,-62.5,-31.836982706677,1,3,5,7
873,South America,-61.5,-31.836982706677,1,3,6,7
874,South America,-60.5,-31.836982706677,6,3,7,8
875,South America,-59.5,-31.836982706677,1,4,5,7
876,South America,-58.5,-31.836982706677,1,3,6,8
877,South America,-57.5,-31.836982706677,1,3,6,7
878,South America,-56.5,-31.836982706677,2,3,3,4
879,South America,-55.5,-31.836982706677,1,3,5,7
880,South America,-54.5,-31.836982706677,1,3,6,7
881,South America,-53.5,-31.836982706677,2,3,4,4
882,South America,-52.5,-31.836982706677,2,3,6,7
885,Africa,18.5,-31.836982706677,3,2,3,4
886,Africa,19.5,-31.836982706677,3,1,3,3
887,Africa,20.5,-31.836982706677,3,1,2,2
888,Africa,21.5,-31.836982706677,2,1,2,2
889,Africa,22.5,-31.836982706677,3,1,2,2
890,Africa,23.5,-31.836982706677,3,1,3,3
891,Africa,24.5,-31.836982706677,3,1,3,3
892,Africa,25.5,-31.836982706677,3,1,3,4
893,Africa,26.5,-31.836982706677,3,2,4,6
894,Africa,27.5,-31.836982706677,3,2,5,7
895,Africa,28.5,-31.836982706677,3,2,6,8
898,Oceania,116.5,-31.836982706677,2,3,5,7
899,Oceania,117.5,-31.836982706677,2,2,2,3
900,Oceania,118.5,-31.836982706677,2,2,3,3
901,Oceania,119.5,-31.836982706677,1,2,2,2
902,Oceania,120.5,-31.836982706677,1,2,2,2
903,Oceania,121.5,-31.836982706677,1,2,3,3
904,Oceania,122.5,-31.836982706677,1,3,2,2
905,Oceania,123.5,-31.836982706677,1,3,2,3
906,Oceania,124.5,-31.836982706677,1,2,2,2
907,Oceania,125.5,-31.836982706677,1,2,2,2
908,Oceania,126.5,-31.836982706677,1,2,2,3
909,Oceania,127.5,-31.836982706677,1,3,3,3
910,Oceania,128.5,-31.836982706677,1,5,3,3
914,Oceania,132.5,-31.836982706677,1,2,2,3
915,Oceania,133.5,-31.836982706677,1,2,2,3
916,Oceania,134.5,-31.836982706677,1,2,2,2
917,Oceania,135.5,-31.836982706677,2,2,2,2
918,Oceania,136.5,-31.836982706677,1,2,2,2
919,Oceania,137.5,-31.836982706677,1,2,2,2
920,Oceania,138.5,-31.836982706677,3,2,2,2
921,Oceania,139.5,-31.836982706677,1,2,2,2
922,Oceania,140.5,-31.836982706677,1,2,2,2
923,Oceania,141.5,-31.836982706677,1,2,4,5
924,Oceania,142.5,-31.836982706677,1,2,2,2
925,Oceania,143.5,-31.836982706677,1,2,2,2
926,Oceania,144.5,-31.836982706677,1,2,2,2
927,Oceania,145.5,-31.836982706677,1,2,3,4
928,Oceania,146.5,-31.836982706677,1,2,2,2
929,Oceania,147.5,-31.836982706677,1,2,3,3
930,Oceania,148.5,-31.836982706677,1,2,3,3
931,Oceania,149.5,-31.836982706677,2,2,3,3
932,Oceania,150.5,-31.836982706677,3,2,4,6
933,Oceania,151.5,-31.836982706677,3,3,3,3
934,Oceania,152.5,-31.836982706677,3,3,6,7
936,South America,-71.5,-30.836982706677,3,2,5,7
937,South America,-70.5,-30.836982706677,3,2,3,3
938,South America,-69.5,-30.836982706677,3,2,3,4
939,South America,-68.5,-30.836982706677,3,2,3,4
940,South America,-67.5,-30.836982706677,3,2,3,4
941,South America,-66.5,-30.836982706677,3,2,3,5
942,South America,-65.5,-30.836982706677,1,2,3,3
943,South America,-64.5,-30.836982706677,3,3,5,7
944,South America,-63.5,-30.836982706677,1,3,3,3
945,South America,-62.5,-30.836982706677,1,3,5,6
946,South America,-61.5,-30.836982706677,1,3,5,7
947,South America,-60.5,-30.836982706677,1,3,5,7
948,South America,-59.5,-30.836982706677,1,3,5,7
949,South America,-58.5,-30.836982706677,1,3,5,7
950,South America,-57.5,-30.836982706677,1,2,5,7
951,South America,-56.5,-30.836982706677,2,2,4,7
952,South America,-55.5,-30.836982706677,2,2,4,7
953,South America,-54.5,-30.836982706677,2,2,5,6
954,South America,-53.5,-30.836982706677,2,3,5,6
955,South America,-52.5,-30.836982706677,2,2,5,7
956,South America,-51.5,-30.836982706677,4,3,8,8
959,Africa,18.5,-30.836982706677,3,2,2,2
960,Africa,19.5,-30.836982706677,3,2,2,2
961,Africa,20.5,-30.836982706677,1,1,2,2
962,Africa,21.5,-30.836982706677,2,1,2,2
963,Africa,22.5,-30.836982706677,2,1,2,2
964,Africa,23.5,-30.836982706677,2,1,2,2
965,Africa,24.5,-30.836982706677,2,1,4,5
966,Africa,25.5,-30.836982706677,2,1,4,5
967,Africa,26.5,-30.836982706677,3,2,4,6
968,Africa,27.5,-30.836982706677,3,2,5,7
969,Africa,28.5,-30.836982706677,3,2,5,7
970,Africa,29.5,-30.836982706677,3,2,7,8
972,Oceania,115.5,-30.836982706677,2,3,3,4
973,Oceania,116.5,-30.836982706677,2,2,2,3
974,Oceania,117.5,-30.836982706677,2,2,2,2
975,Oceania,118.5,-30.836982706677,2,2,2,2
976,Oceania,119.5,-30.836982706677,1,2,2,2
977,Oceania,120.5,-30.836982706677,1,2,2,2
978,Oceania,121.5,-30.836982706677,1,3,4,6
979,Oceania,122.5,-30.836982706677,1,2,2,2
